,Overall Qual,Gr Liv Area,Exter Qual,Kitchen Qual,Total Bsmt SF,Garage Area,1st Flr SF,Bsmt Qual,Year Built,Garage Finish,Year Remod/Add,Fireplace Qu,Full Bath,Foundation_PConc,Mas Vnr Area,Heating QC,Neighborhood_NridgHt,BsmtFin SF 1,Bsmt Exposure,Mas Vnr Type_None,Garage Type_Detchd,Sale Type_New,Garage Type_Attchd,MS SubClass_C060,Foundation_CBlock,BsmtFin Type 1,Exterior 1st_VinylSd,Lot Frontage,Open Porch SF,Exterior 2nd_VinylSd,Wood Deck SF,Mas Vnr Type_Stone,Lot Area,Lot Shape,Paved Drive,Garage Qual,Bsmt Full Bath,Half Bath,MS Zoning_RM,Roof Style_Hip,Garage Cond,Neighborhood_NoRidge,Mas Vnr Type_BrkFace,Neighborhood_StoneBr,Roof Style_Gable,2nd Flr SF,MS SubClass_C030,Electrical,MS Zoning_RL,Garage Type_NA,Foundation_BrkTil,Bsmt Cond,Garage Type_BuiltIn,Sale Type_WD ,Land Contour_HLS,Neighborhood_OldTown,House Style_2Story,House Style_1.5Fin,Exterior 1st_Wd Sdng,Bsmt Unf SF,Neighborhood_NAmes,Neighborhood_IDOTRR,MS SubClass_C050,Neighborhood_Edwards,Exterior 2nd_Wd Sdng,Exterior 1st_CemntBd,Lot Config_CulDSac,Fence,Exterior 2nd_CmentBd,Neighborhood_Somerst,Exterior 1st_MetalSd,Exterior 2nd_MetalSd,Bedroom AbvGr,Enclosed Porch,Neighborhood_BrkSide,Screen Porch,Neighborhood_Sawyer,Exterior 1st_AsbShng,MS Zoning_C (all),Functional,Kitchen AbvGr,Condition 1_Artery,Foundation_Slab,Neighborhood_Timber,MS SubClass_C160,Exterior 1st_HdBoard,Condition 1_Feedr,Bldg Type_Twnhs,Neighborhood_MeadowV,Bldg Type_2fmCon,Condition 1_Norm,Exterior 2nd_AsbShng,MS SubClass_C190,Sale Type_COD,Condition 1_PosN,MS Zoning_FV,Bldg Type_1Fam,Bldg Type_Duplex,MS SubClass_C090,Exterior 2nd_HdBoard,MS SubClass_C120
0,6,1479,3,3,725.0,475.0,725,3,1976,2,2005,0,2,0,289.0,4,0,533.0,1,0,0,0,1,1,1,6,0,69.0,44,0,0,0,13517,2,2,3,0.0,1,0,0,3,0,1,0,1,754,0,4,1,0,0,3,0,1,0,0,1,0,0,192.0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,7,2122,3,3,913.0,559.0,913,4,1996,2,1997,3,2,1,132.0,4,0,637.0,1,0,0,0,1,1,0,6,1,43.0,74,1,0,0,11492,2,2,3,1.0,1,0,0,3,0,1,0,1,1209,0,4,1,0,0,3,0,1,0,0,1,0,0,276.0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2,5,1057,2,3,1057.0,246.0,1057,3,1953,1,2007,0,1,0,0.0,2,0,731.0,1,1,1,0,0,0,1,6,1,68.0,52,1,0,0,7922,3,2,3,1.0,0,0,0,3,0,0,0,1,0,0,4,1,0,0,3,0,1,0,0,0,0,0,326.0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,5,1444,2,2,384.0,400.0,744,4,2006,3,2007,0,2,1,0.0,3,0,0.0,1,1,0,0,0,1,0,1,1,73.0,0,1,100,0,9802,3,2,3,0.0,1,0,0,3,0,0,0,1,700,0,4,1,0,0,3,1,1,0,0,1,0,0,384.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4,6,1445,2,2,676.0,484.0,831,2,1900,1,1993,0,2,1,0.0,2,0,0.0,1,1,1,0,0,0,0,1,0,82.0,59,0,0,0,14235,2,0,3,0.0,0,0,0,3,0,0,0,1,614,0,4,1,0,0,4,0,1,0,0,0,1,1,676.0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5,6,1888,3,3,1517.0,578.0,1888,3,1966,3,2002,4,2,0,0.0,4,0,247.0,1,1,0,0,1,0,1,5,0,137.0,0,0,0,0,16492,2,2,3,0.0,1,0,0,3,0,0,0,1,0,0,4,1,0,0,3,0,1,0,0,0,0,0,557.0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,6,1072,2,2,547.0,525.0,1072,4,2005,3,2006,0,2,1,82.0,3,0,547.0,4,0,0,1,0,0,0,6,1,35.0,44,1,0,0,3675,3,2,3,1.0,0,1,0,3,0,1,0,1,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,5,1188,2,2,1188.0,531.0,1188,3,1959,2,1959,0,1,0,180.0,1,0,1000.0,1,0,0,0,1,0,1,3,0,69.0,0,0,0,0,12160,2,2,3,1.0,0,0,1,3,0,1,0,0,0,0,4,1,0,0,3,0,0,0,0,0,0,0,188.0,1,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
8,5,924,2,2,924.0,420.0,924,3,1952,1,1952,0,1,0,0.0,2,0,292.0,1,1,1,0,0,0,1,3,0,69.0,324,0,0,0,15783,3,2,3,0.0,0,0,0,3,0,0,0,1,0,0,4,1,0,0,3,0,1,0,1,0,0,1,632.0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,5,2080,2,1,1040.0,504.0,1040,4,1969,1,1969,3,1,1,192.0,2,0,650.0,3,0,0,0,1,1,0,3,0,70.0,0,0,335,0,11606,2,2,3,0.0,2,0,0,3,0,1,0,1,1040,0,4,1,0,0,3,0,1,1,0,1,0,0,390.0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
