,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,Functional,Fireplace Qu,Garage Type,Garage Finish,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Fence,Misc Val,Mo Sold,Yr Sold,Sale Type
0,C060,RL,69.0,13517,2,Lvl,3,CulDSac,2,Sawyer,RRAe,1Fam,2Story,6,8,1976,2005,Gable,HdBoard,Plywood,BrkFace,289.0,3,2,CBlock,3,3,1,6,533.0,1,0.0,192.0,725.0,4,4,725,754,0,1479,0.0,0.0,2,1,3,1,3,7,0,Attchd,2,475.0,3,3,2,0,44,0,0,0,0,0,0,3,2010,WD 
1,C060,RL,43.0,11492,2,Lvl,3,CulDSac,2,SawyerW,Norm,1Fam,2Story,7,5,1996,1997,Gable,VinylSd,VinylSd,BrkFace,132.0,3,2,PConc,4,3,1,6,637.0,1,0.0,276.0,913.0,4,4,913,1209,0,2122,1.0,0.0,2,1,4,1,3,7,3,Attchd,2,559.0,3,3,2,0,74,0,0,0,0,0,0,4,2009,WD 
2,C020,RL,68.0,7922,3,Lvl,3,Inside,2,NAmes,Norm,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,None,0.0,2,3,CBlock,3,3,1,6,731.0,1,0.0,326.0,1057.0,2,4,1057,0,0,1057,1.0,0.0,1,0,3,1,3,7,0,Detchd,1,246.0,3,3,2,0,52,0,0,0,0,0,0,1,2010,WD 
3,C060,RL,73.0,9802,3,Lvl,3,Inside,2,Timber,Norm,1Fam,2Story,5,5,2006,2007,Gable,VinylSd,VinylSd,None,0.0,2,2,PConc,4,3,1,1,0.0,1,0.0,384.0,384.0,3,4,744,700,0,1444,0.0,0.0,2,1,3,1,2,7,0,BuiltIn,3,400.0,3,3,2,100,0,0,0,0,0,0,0,4,2010,WD 
4,C050,RL,82.0,14235,2,Lvl,3,Inside,2,SawyerW,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,Wd Sdng,Plywood,None,0.0,2,2,PConc,2,4,1,1,0.0,1,0.0,676.0,676.0,2,4,831,614,0,1445,0.0,0.0,2,0,3,1,2,7,0,Detchd,1,484.0,3,3,0,0,59,0,0,0,0,0,0,3,2010,WD 
5,C020,RL,137.0,16492,2,Lvl,3,Corner,2,NAmes,PosA,1Fam,1Story,6,6,1966,2002,Gable,BrkFace,Plywood,None,0.0,3,2,CBlock,3,3,1,5,247.0,3,713.0,557.0,1517.0,4,4,1888,0,0,1888,0.0,0.0,2,1,2,1,3,4,4,Attchd,3,578.0,3,3,2,0,0,0,0,0,0,0,0,6,2010,WD 
6,C180,RM,35.0,3675,3,Lvl,3,Inside,2,Edwards,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,82.0,2,2,PConc,4,3,4,6,547.0,1,0.0,0.0,547.0,3,4,1072,0,0,1072,1.0,0.0,2,0,2,1,2,7,0,Basment,3,525.0,3,3,2,0,44,0,0,0,0,0,0,6,2006,New
7,C020,RL,69.0,12160,2,Lvl,3,Inside,2,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,Plywood,Plywood,BrkFace,180.0,2,2,CBlock,3,3,1,3,1000.0,1,0.0,188.0,1188.0,1,4,1188,0,0,1188,1.0,0.0,1,0,3,1,2,7,0,Attchd,2,531.0,3,3,2,0,0,0,0,0,0,3,0,5,2010,COD
8,C020,RL,69.0,15783,3,Lvl,3,Inside,2,OldTown,Artery,1Fam,1Story,5,5,1952,1952,Gable,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,3,3,1,3,292.0,1,0.0,632.0,924.0,2,4,924,0,0,924,0.0,0.0,1,0,2,1,2,7,0,Detchd,1,420.0,3,3,2,0,324,0,0,0,0,3,400,6,2007,WD 
9,C060,RL,70.0,11606,2,HLS,3,Inside,0,NAmes,Norm,1Fam,2Story,5,5,1969,1969,Gable,Plywood,Plywood,BrkFace,192.0,2,2,PConc,4,3,3,3,650.0,1,0.0,390.0,1040.0,2,4,1040,1040,0,2080,0.0,1.0,1,2,5,1,1,7,3,Attchd,1,504.0,3,3,2,335,0,0,0,0,0,0,0,9,2007,WD 
10,C160,RM,21.0,1680,3,Lvl,3,Inside,2,BrDale,Norm,Twnhs,2Story,6,5,1971,1971,Gable,HdBoard,HdBoard,BrkFace,232.0,2,2,CBlock,3,3,1,5,387.0,1,0.0,96.0,483.0,2,4,483,504,0,987,0.0,0.0,1,1,2,1,2,7,0,Detchd,1,264.0,3,3,2,0,0,0,0,0,0,0,0,7,2008,COD
11,C020,RL,64.0,7488,2,Lvl,3,Inside,2,CollgCr,Norm,1Fam,1Story,7,5,2005,2005,Gable,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,3,6,393.0,1,0.0,815.0,1208.0,4,4,1208,0,0,1208,0.0,0.0,2,0,2,1,3,7,0,Attchd,2,632.0,3,3,2,105,58,0,0,0,0,0,0,2,2006,WD 
