,Total SF,Overall Qual,Interior Qual,Neighborhood Score,Exter Qual,Year Remod/Add,Foundation_PConc,BsmtFin SF 1,Bsmt Exposure,Mas Vnr Type_None,Garage Type_Detchd,Sale Type_New,MS SubClass_C060,Foundation_CBlock,Lot Frontage,Mas Vnr Type_Stone,Lot Area,Half Bath,Roof Style_Hip,Mas Vnr Type_BrkFace,Garage Type_NA,Foundation_BrkTil,Garage Type_BuiltIn,Land Contour_HLS
0,3012.0,6,23,29.990990990990987,3,2005,0,533.0,1,0,0,0,1,1,69.0,0,13517,1,0,1,0,0,0,0
1,3800.0,7,27,33.13793103448276,3,1997,1,637.0,1,0,0,0,1,0,43.0,0,11492,1,0,1,0,0,0,0
2,2412.0,5,21,30.33225806451613,2,2007,0,731.0,1,1,1,0,0,1,68.0,0,7922,0,0,0,0,0,0,0
3,2328.0,5,22,36.770833333333336,2,2007,1,0.0,1,1,0,0,1,0,73.0,0,9802,1,0,0,0,0,1,0
4,2664.0,6,20,33.13793103448276,2,1993,1,0.0,1,1,1,0,0,0,82.0,0,14235,0,0,0,0,0,0,0
5,3983.0,6,27,30.33225806451613,3,2002,0,247.0,1,1,0,0,0,1,137.0,0,16492,1,0,0,0,0,0,0
6,2270.0,6,22,28.17021276595745,2,2006,1,547.0,4,0,0,1,0,0,35.0,0,3675,0,0,1,0,0,0,0
7,3087.0,5,19,30.33225806451613,2,1959,0,1000.0,1,0,0,0,0,1,69.0,0,12160,0,1,1,0,0,0,0
8,2592.0,5,20,29.607361963190183,2,1952,0,292.0,1,1,1,0,0,1,69.0,0,15783,0,0,0,0,0,0,0
9,4151.0,5,23,30.33225806451613,2,1969,1,650.0,3,0,0,0,1,0,70.0,0,11606,2,0,1,0,0,0,1
10,1966.0,6,20,28.210526315789476,2,1971,0,387.0,1,0,1,0,0,1,21.0,0,1680,1,0,1,0,0,0,0
11,3211.0,7,24,34.5,3,2005,1,393.0,3,1,0,0,0,0,64.0,0,7488,0,0,0,0,0,0,0
12,2592.0,5,19,33.13793103448276,3,2007,1,0.0,0,1,0,0,0,0,120.0,0,26400,0,0,0,0,0,0,0
13,3672.0,8,24,36.49230769230768,3,2000,1,813.0,1,0,1,0,0,0,24.0,0,2645,1,0,1,0,0,0,0
14,3372.0,7,24,34.5,3,2007,1,24.0,3,1,0,0,0,0,74.0,0,9627,0,0,0,0,0,0,0
15,3484.0,5,25,31.02439024390244,2,2005,1,0.0,3,1,0,0,0,0,93.0,0,10114,0,0,0,0,0,0,0
16,2577.0,5,17,29.607361963190183,2,1950,0,0.0,1,1,1,0,0,0,34.0,0,4571,0,0,0,0,1,0,0
17,2802.0,5,20,29.990990990990987,2,1963,1,651.0,1,1,1,0,0,0,80.0,0,8816,0,0,0,0,0,0,0
18,2759.0,6,25,29.990990990990987,2,1977,0,0.0,1,0,0,0,0,1,71.0,0,8197,1,0,1,0,0,0,0
19,3131.0,7,24,36.49230769230768,2,2009,1,24.0,2,1,0,0,1,0,72.0,0,8640,1,0,0,0,0,0,0
20,2238.0,5,23,29.990990990990987,2,1968,0,492.0,1,1,0,0,0,1,109.0,0,8724,0,0,0,0,0,0,0
21,3930.0,8,30,39.42105263157895,3,2000,1,1158.0,1,1,0,0,0,0,40.0,0,5664,0,0,0,0,0,0,0
22,4422.0,8,30,40.459016393442624,3,2006,1,0.0,3,1,0,1,1,0,103.0,0,12867,1,0,0,0,0,0,0
