,Total SF,Overall Qual,Interior Qual,Neighborhood Score,Exter Qual,Age at sale,Garage Finish,Year Remod/Add,Full Bath,Foundation_PConc,BsmtFin SF 1,Bsmt Exposure,Mas Vnr Type_None,Garage Type_Detchd,Sale Type_New,Garage Type_Attchd,MS SubClass_C060,Foundation_CBlock,BsmtFin Type 1,Exterior 1st_VinylSd,Lot Frontage,Exterior 2nd_VinylSd,Mas Vnr Type_Stone,Lot Area,Lot Shape,Paved Drive,Bsmt Full Bath,Half Bath,MS Zoning_RM,Roof Style_Hip,Mas Vnr Type_BrkFace,Roof Style_Gable,MS SubClass_C030,MS Zoning_RL,Garage Type_NA,Foundation_BrkTil,Garage Type_BuiltIn,Sale Type_WD ,Land Contour_HLS,House Style_2Story
0,3012.0,6,23,29.99099099099099,3,34,2,2005,2,0,533.0,1,0,0,0,1,1,1,6,0,69.0,0,0,13517,2,2,0.0,1,0,0,1,1,0,1,0,0,0,1,0,1
1,3800.0,7,27,33.13793103448276,3,13,2,1997,2,1,637.0,1,0,0,0,1,1,0,6,1,43.0,1,0,11492,2,2,1.0,1,0,0,1,1,0,1,0,0,0,1,0,1
2,2412.0,5,21,30.33225806451613,2,57,1,2007,1,0,731.0,1,1,1,0,0,0,1,6,1,68.0,1,0,7922,3,2,1.0,0,0,0,0,1,0,1,0,0,0,1,0,0
3,2328.0,5,22,36.770833333333336,2,4,3,2007,2,1,0.0,1,1,0,0,0,1,0,1,1,73.0,1,0,9802,3,2,0.0,1,0,0,0,1,0,1,0,0,1,1,0,1
4,2664.0,6,20,33.13793103448276,2,110,1,1993,2,1,0.0,1,1,1,0,0,0,0,1,0,82.0,0,0,14235,2,0,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0
5,3983.0,6,27,30.33225806451613,3,44,3,2002,2,0,247.0,1,1,0,0,1,0,1,5,0,137.0,0,0,16492,2,2,0.0,1,0,0,0,1,0,1,0,0,0,1,0,0
6,2270.0,6,22,28.170212765957448,2,1,3,2006,2,1,547.0,4,0,0,1,0,0,0,6,1,35.0,1,0,3675,3,2,1.0,0,1,0,1,1,0,0,0,0,0,0,0,0
7,3087.0,5,19,30.33225806451613,2,51,2,1959,1,0,1000.0,1,0,0,0,1,0,1,3,0,69.0,0,0,12160,2,2,1.0,0,0,1,1,0,0,1,0,0,0,0,0,0
8,2592.0,5,20,29.607361963190183,2,55,1,1952,1,0,292.0,1,1,1,0,0,0,1,3,0,69.0,0,0,15783,3,2,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0
9,4151.0,5,23,30.33225806451613,2,38,1,1969,1,1,650.0,3,0,0,0,1,1,0,3,0,70.0,0,0,11606,2,2,0.0,2,0,0,1,1,0,1,0,0,0,1,1,1
10,1966.0,6,20,28.210526315789473,2,37,1,1971,1,0,387.0,1,0,1,0,0,0,1,5,0,21.0,0,0,1680,3,2,0.0,1,1,0,1,1,0,0,0,0,0,0,0,1
11,3211.0,7,24,34.5,3,1,2,2005,2,1,393.0,3,1,0,0,1,0,0,6,1,64.0,1,0,7488,2,2,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0
12,2592.0,5,19,33.13793103448276,3,129,1,2007,1,1,0.0,0,1,0,0,1,0,0,0,0,120.0,0,0,26400,3,1,0.0,0,0,0,0,1,0,1,0,0,0,1,0,1
13,3672.0,8,24,36.49230769230769,3,9,1,2000,2,1,813.0,1,0,1,0,0,0,0,6,0,24.0,0,0,2645,3,2,1.0,1,0,0,1,1,0,0,0,0,0,0,0,1
14,3372.0,7,24,34.5,3,1,2,2007,2,1,24.0,3,1,0,0,1,0,0,6,1,74.0,1,0,9627,3,2,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0
15,3484.0,5,25,31.024390243902438,2,6,2,2005,2,1,0.0,3,1,0,0,1,0,0,1,1,93.0,1,0,10114,3,2,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0
16,2577.0,5,17,29.607361963190183,2,92,1,1950,1,0,0.0,1,1,1,0,0,0,0,1,0,34.0,0,0,4571,3,2,0.0,0,1,0,0,1,0,0,0,1,0,0,0,1
17,2802.0,5,20,29.99099099099099,2,46,1,1963,1,1,651.0,1,1,1,0,0,0,0,3,1,80.0,1,0,8816,3,2,1.0,0,0,0,0,1,0,1,0,0,0,1,0,0
18,2759.0,6,25,29.99099099099099,2,30,2,1977,1,0,0.0,1,0,0,0,1,0,1,1,0,71.0,0,0,8197,3,2,0.0,1,0,0,1,1,0,1,0,0,0,1,0,0
19,3131.0,7,24,36.49230769230769,2,1,1,2009,2,1,24.0,2,1,0,0,1,1,0,6,1,72.0,1,0,8640,3,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1
20,2238.0,5,23,29.99099099099099,2,39,3,1968,1,0,492.0,1,1,0,0,1,0,1,4,1,109.0,1,0,8724,3,2,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0
21,3930.0,8,30,39.421052631578945,3,9,3,2000,2,1,1158.0,1,1,0,0,1,0,0,6,0,40.0,0,0,5664,2,2,1.0,0,0,0,0,1,0,1,0,0,0,1,0,0
22,4422.0,8,30,40.459016393442624,3,1,3,2006,2,1,0.0,3,1,0,1,1,1,0,1,0,103.0,0,0,12867,2,2,0.0,1,0,0,0,1,0,1,0,0,0,0,0,1
23,3279.0,6,23,34.91379310344828,2,18,3,2007,2,1,935.0,1,1,0,0,1,0,0,5,0,69.0,0,0,7980,2,2,1.0,0,0,0,0,1,0,1,0,0,0,1,0,0
24,2948.0,5,20,34.91379310344828,2,51,3,1955,1,0,1056.0,2,1,0,0,1,0,1,3,0,100.0,0,0,34650,3,2,1.0,0,0,1,0,0,0,1,0,0,0,1,0,0
25,3776.0,6,25,30.33225806451613,2,48,2,1961,2,0,1312.0,1,0,0,0,1,0,1,3,0,92.0,0,0,10573,2,2,1.0,0,0,1,1,0,0,1,0,0,0,1,0,0
26,2684.0,5,26,29.99099099099099,2,45,1,2009,1,0,553.0,1,1,1,0,0,0,1,6,0,65.0,0,0,8450,3,2,1.0,0,0,0,0,1,0,1,0,0,0,1,0,0
27,3160.0,5,27,35.436619718309856,2,71,1,1995,2,0,606.0,1,1,1,0,0,0,1,4,0,69.0,0,0,11700,2,2,0.0,0,0,0,0,1,0,1,0,0,0,1,1,0
28,3081.0,5,13,25.6231884057971,2,112,0,2006,2,0,0.0,1,1,0,0,0,0,1,1,1,75.0,1,0,8250,3,0,0.0,0,0,0,0,1,0,0,1,0,0,1,0,1
29,2172.0,5,23,30.33225806451613,2,58,1,2006,1,0,0.0,2,1,1,0,0,0,1,1,0,60.0,0,0,8064,3,2,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0
30,6184.0,8,26,33.87356321839081,3,28,3,1981,2,1,1104.0,1,1,0,0,1,0,0,5,0,80.0,0,0,9600,3,2,1.0,1,0,1,0,0,0,1,0,0,0,1,0,0
31,2709.0,8,25,35.436619718309856,2,77,1,1950,1,1,0.0,1,1,1,0,0,0,0,1,0,69.0,0,0,11435,2,2,0.0,0,0,0,0,1,0,1,0,0,0,1,1,1
32,3715.0,8,30,37.705882352941174,3,11,3,1996,1,1,437.0,3,1,0,0,1,0,0,2,0,30.0,0,0,9549,2,2,1.0,1,0,1,0,0,0,1,0,0,0,1,0,0
33,2354.0,6,20,30.33225806451613,2,55,1,1952,1,0,441.0,1,1,1,0,0,0,1,5,0,60.0,0,0,10950,3,0,0.0,0,0,1,0,0,0,1,0,0,0,1,0,0
34,4837.0,8,29,34.5,3,2,2,2008,2,1,1288.0,4,0,0,0,1,0,0,6,1,79.0,1,1,10637,3,2,1.0,0,0,1,0,0,0,1,0,0,0,1,0,0
35,1860.0,6,24,30.33225806451613,2,51,2,1958,1,0,0.0,4,0,0,0,0,0,1,1,0,80.0,0,0,9000,2,2,0.0,0,0,0,1,0,0,1,0,0,0,1,1,0
36,2698.0,5,25,27.416666666666668,2,29,2,1977,2,1,548.0,1,1,0,0,1,0,0,5,0,41.0,0,0,2665,3,2,0.0,0,1,0,0,1,0,0,0,0,0,1,0,1
37,4836.0,6,26,33.87356321839081,2,33,2,1977,2,0,705.0,1,0,0,0,1,0,1,4,0,105.0,0,0,11751,2,2,0.0,0,0,1,1,0,0,1,0,0,0,0,0,0
38,3332.0,7,22,33.87356321839081,2,34,1,1973,1,0,916.0,1,0,0,0,1,0,1,5,0,80.0,0,0,9600,3,2,0.0,1,0,1,1,0,0,1,0,0,0,1,0,0
39,2620.0,5,24,34.5,2,13,1,1994,1,1,420.0,1,1,1,0,0,0,0,6,1,60.0,1,0,8428,1,2,1.0,0,0,0,0,1,0,1,0,0,0,1,0,0
40,3592.0,5,21,28.170212765957448,3,43,3,1965,1,0,830.0,1,1,0,0,1,0,1,4,0,75.0,0,0,9937,3,2,1.0,1,0,0,0,1,0,1,0,0,0,1,0,0
41,5447.0,10,31,40.459016393442624,4,0,3,2006,2,1,1386.0,4,1,0,1,1,0,0,6,1,107.0,1,0,13891,3,2,1.0,1,0,0,0,1,0,1,0,0,0,0,0,0
42,3246.0,5,27,31.024390243902438,2,31,3,1978,1,1,1097.0,3,0,0,0,1,0,0,6,0,69.0,0,0,9101,2,2,1.0,0,0,0,1,1,0,1,0,0,0,1,0,0
43,3532.0,5,19,29.607361963190183,2,54,1,1954,2,0,0.0,1,0,0,0,1,0,0,1,0,81.0,0,0,12150,3,2,0.0,0,1,0,1,1,0,0,0,1,0,1,0,0
44,2464.0,5,22,29.99099099099099,2,43,1,1965,1,0,906.0,1,1,1,0,0,0,1,3,0,70.0,0,0,11200,3,2,1.0,0,0,1,0,0,0,1,0,0,0,1,0,0
45,3514.0,8,22,35.436619718309856,2,73,3,1950,1,1,210.0,1,0,1,0,0,0,0,2,0,100.0,0,1,9670,2,2,0.0,1,0,0,0,1,0,1,0,0,0,1,1,1
46,3316.0,5,22,28.170212765957448,2,68,1,1960,2,0,408.0,1,1,1,0,0,0,1,2,0,60.0,0,0,10998,3,2,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0
47,2660.0,7,25,35.436619718309856,2,77,2,2000,1,0,0.0,1,1,0,0,1,0,0,1,0,60.0,0,0,7200,3,1,0.0,1,0,0,0,1,0,1,0,1,0,1,1,1
48,2673.0,5,20,30.33225806451613,2,56,2,1954,1,0,354.0,1,0,0,0,1,0,1,3,0,80.0,0,1,9920,3,2,1.0,0,0,0,0,1,0,1,0,0,0,1,0,0
49,2997.0,7,24,40.459016393442624,3,5,2,2004,2,1,0.0,1,0,0,0,0,0,0,1,1,36.0,0,1,2448,3,2,0.0,1,0,0,0,1,0,1,0,0,1,1,0,1
50,3265.0,6,24,36.49230769230769,3,6,1,2000,2,1,353.0,1,0,1,0,0,0,0,6,0,69.0,0,0,2998,3,2,0.0,1,0,0,1,1,0,0,0,0,0,1,0,1
