,SalePrice
0,130500
1,220000
2,109000
3,174000
4,138500
5,190000
6,140000
7,142000
8,112500
9,135000
10,85400
11,183600
12,131000
13,200000
14,193000
15,173500
16,98000
17,139000
18,143500
19,215200
20,129000
21,278000
22,344133
23,185000
24,145000
25,187500
26,138500
27,198000
28,119600
29,122900
30,278000
31,230000
32,270000
33,125000
34,297000
35,113500
36,127000
37,190000
38,175500
39,146000
40,147500
41,465000
42,165500
43,131500
44,129500
45,257076
46,117000
47,149000
48,128000
49,155000
50,166000
51,135000
52,250000
53,76000
54,155000
55,158000
56,149500
57,121000
58,136000
59,173000
60,290000
61,303477
62,270000
63,122250
64,153000
65,147000
66,148500
67,130000
68,372000
69,213490
70,308030
71,300000
72,159500
73,137500
74,232000
75,93850
76,105000
77,68500
78,154300
79,129850
80,114000
81,501837
82,153900
83,130000
84,160500
85,310090
86,184900
87,132000
88,163000
89,155000
90,183000
91,211000
92,184000
93,118858
94,180500
95,166000
96,148000
97,124000
98,277500
99,350000
100,387000
101,86000
102,290000
103,44000
104,215000
105,146500
106,165000
107,136000
108,252000
109,175500
110,150000
111,139900
112,162900
113,160000
114,63900
115,184000
116,149900
117,300000
118,145000
119,231500
120,108000
121,120000
122,128500
123,115000
124,110000
125,150000
126,178000
127,199500
128,183500
129,126000
130,148500
131,149000
132,137900
133,324000
134,98000
135,103400
136,94000
137,209500
138,545224
139,159900
140,141000
141,215000
142,127000
143,128000
144,267916
145,127500
146,198500
147,175500
148,217500
149,149500
150,148800
151,556581
152,156500
153,237000
154,120000
155,203000
156,130000
157,167900
158,129000
159,134450
160,112000
161,207000
162,62500
163,154000
164,129900
165,85000
166,116900
167,148500
168,80000
169,152000
170,155891
171,165000
172,204500
173,146500
174,157000
175,184000
176,183200
177,139000
178,341000
179,96000
180,140000
181,149700
182,153500
183,13100
184,224900
185,176000
186,285000
187,282922
188,226000
189,361919
190,457347
191,279000
192,196000
193,152000
194,200000
195,294900
196,224243
197,92000
198,179540
199,386250
200,106500
201,310000
202,252000
203,164000
204,177594
205,123900
206,239000
207,169000
208,234000
209,173000
210,149000
211,170000
212,225000
213,144900
214,144000
215,192000
216,145500
217,86900
218,149500
219,119750
220,173900
221,136500
222,270000
223,235000
224,156000
225,153000
226,165000
227,325000
228,140000
229,202500
230,367294
231,175000
232,140000
233,174000
234,190000
235,129000
236,200000
237,193500
238,145000
239,218000
240,135000
241,146500
242,194700
243,230348
244,109500
245,242500
246,239000
247,156000
248,109008
249,68104
250,290000
251,159000
252,87000
253,272000
254,198000
255,119164
256,93000
257,226750
258,95000
259,139900
260,76500
261,86900
262,152500
263,99000
264,82500
265,179200
266,142500
267,115400
268,226000
269,144152
270,370000
271,149900
272,172785
273,129000
274,181000
275,148000
276,117250
277,192500
278,151000
279,112500
280,144000
281,370967
282,149900
283,195000
284,163900
285,182000
286,410000
287,152000
288,184000
289,206300
290,146500
291,108000
292,170000
293,145000
294,123000
295,173000
296,105900
297,91000
298,158000
299,190000
300,217500
301,165500
302,174500
303,100000
304,172000
305,120000
306,82000
307,127000
308,129500
309,187500
310,300000
311,190000
312,96000
313,241000
314,143900
315,87550
316,319900
317,356383
318,239000
319,287500
320,128500
321,185088
322,229800
323,124500
324,142000
325,149000
326,135000
327,128000
328,430000
329,145000
330,139000
331,178000
332,460000
333,214500
334,160000
335,214000
336,128900
337,168000
338,310013
339,170000
340,133700
341,165000
342,89500
343,140000
344,134000
345,248500
346,145000
347,179900
348,147000
349,136000
350,128000
351,88750
352,122500
353,97500
354,135000
355,314813
356,85000
357,134900
358,137000
359,350000
360,145000
361,418000
362,64000
363,159434
364,260261
365,166000
366,130000
367,112000
368,155000
369,269500
370,172000
371,219500
372,133500
373,170000
374,150000
375,130000
376,143000
377,140000
378,244000
379,101000
380,125000
381,183000
382,104000
383,112500
384,207500
385,225000
386,119900
387,293000
388,180000
389,169900
390,112000
391,152000
392,300000
393,107000
394,122500
395,89000
396,95000
